Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City
brazil, Sweden,5.0,2.0,NO,Pelé,55,Home Win,1958-06-29,15:00:00,Råsunda Stadium,Solna,497370.0,Maurice Guigue,France
brazil, Sweden,5.0,2.0,NO,Zagallo,68,Home Win,1958-06-29,15:00:00,Råsunda Stadium,Solna,497370.0,Maurice Guigue,France
brazil, Sweden,5.0,2.0,NO,Liedholm,4,Home Win,1958-06-29,15:00:00,Råsunda Stadium,Solna,497370.0,Maurice Guigue,France
brazil, Sweden,5.0,2.0,NO,Simonsson,80,Home Win,1958-06-29,15:00:00,Råsunda Stadium,Solna,497370.0,Maurice Guigue,France
uruguay, Colombia,2.0,1.0,NO,Cubilla,56,Home Win,1962-05-30,15:00:00,Estadio Carlos Dittborn,Arica,79080.0,Andor Dorogi,Hungary
uruguay, Colombia,2.0,1.0,NO,Sasía,75,Home Win,1962-05-30,15:00:00,Estadio Carlos Dittborn,Arica,79080.0,Andor Dorogi,Hungary
uruguay, Colombia,2.0,1.0,NO,Zuluaga,19,Home Win,1962-05-30,15:00:00,Estadio Carlos Dittborn,Arica,79080.0,Andor Dorogi,Hungary
soviet union, Yugoslavia,2.0,0.0,NO,Ivanov,51,Home Win,1962-05-31,15:00:00,Estadio Carlos Dittborn,Arica,96220.0,Albert Dusch,West Germany
soviet union, Yugoslavia,2.0,0.0,NO,Ponedelnik,83,Home Win,1962-05-31,15:00:00,Estadio Carlos Dittborn,Arica,96220.0,Albert Dusch,West Germany
yugoslavia, Uruguay,3.0,1.0,NO,Skoblar,25,Home Win,1962-06-02,15:00:00,Estadio Carlos Dittborn,Arica,88290.0,Karol Galba,Czechoslovakia
yugoslavia, Uruguay,3.0,1.0,NO,pen.,29,Home Win,1962-06-02,15:00:00,Estadio Carlos Dittborn,Arica,88290.0,Karol Galba,Czechoslovakia
yugoslavia, Uruguay,3.0,1.0,NO,Galić,49,Home Win,1962-06-02,15:00:00,Estadio Carlos Dittborn,Arica,88290.0,Karol Galba,Czechoslovakia
yugoslavia, Uruguay,3.0,1.0,NO,Cabrera,19,Home Win,1962-06-02,15:00:00,Estadio Carlos Dittborn,Arica,88290.0,Karol Galba,Czechoslovakia
soviet union, Colombia,4.0,4.0,NO,Ivanov,8,Draw,1962-06-03,15:00:00,Estadio Carlos Dittborn,Arica,80400.0,João Etzel Filho,Brazil
soviet union, Colombia,4.0,4.0,NO,Chislenko,10,Draw,1962-06-03,15:00:00,Estadio Carlos Dittborn,Arica,80400.0,João Etzel Filho,Brazil
soviet union, Colombia,4.0,4.0,NO,Ponedelnik,56,Draw,1962-06-03,15:00:00,Estadio Carlos Dittborn,Arica,80400.0,João Etzel Filho,Brazil
soviet union, Colombia,4.0,4.0,NO,Aceros,21,Draw,1962-06-03,15:00:00,Estadio Carlos Dittborn,Arica,80400.0,João Etzel Filho,Brazil
soviet union, Colombia,4.0,4.0,NO,Coll,68,Draw,1962-06-03,15:00:00,Estadio Carlos Dittborn,Arica,80400.0,João Etzel Filho,Brazil
soviet union, Colombia,4.0,4.0,NO,Rada,72,Draw,1962-06-03,15:00:00,Estadio Carlos Dittborn,Arica,80400.0,João Etzel Filho,Brazil
soviet union, Colombia,4.0,4.0,NO,Klinger,86,Draw,1962-06-03,15:00:00,Estadio Carlos Dittborn,Arica,80400.0,João Etzel Filho,Brazil
soviet union, Uruguay,2.0,1.0,NO,Mamykin,38,Home Win,1962-06-06,15:00:00,Estadio Carlos Dittborn,Arica,99730.0,Cesare Jonni,Italy
soviet union, Uruguay,2.0,1.0,NO,Ivanov,89,Home Win,1962-06-06,15:00:00,Estadio Carlos Dittborn,Arica,99730.0,Cesare Jonni,Italy
soviet union, Uruguay,2.0,1.0,NO,Sasía,54,Home Win,1962-06-06,15:00:00,Estadio Carlos Dittborn,Arica,99730.0,Cesare Jonni,Italy
yugoslavia, Colombia,5.0,0.0,NO,Galić,20,Home Win,1962-06-07,15:00:00,Estadio Carlos Dittborn,Arica,71670.0,Carlos Robles,Chile
yugoslavia, Colombia,5.0,0.0,NO,Jerković,25,Home Win,1962-06-07,15:00:00,Estadio Carlos Dittborn,Arica,71670.0,Carlos Robles,Chile
